,smart_institution2,count
261,University Of Alabama Birmingham,5
262,Crozer Chester Medical Center,5
263,Rice University,5
264,The University Of Alabama At Birmingham,5
265,University Of Tennessee Medical Center,5
266,Naval Medical Center Portsmouth,5
267,National University Of Rwanda,5
268,The Alfred Hospital,5
269,University Of Florida-Jacksonville,5
270,Keio University School Of Medicine,5
271,University Of Alabama At Birmingham School Of Medicine,5
272,Children'S Medical Center,5
273,Perelman School Of Medicine At The University Of Pennsylvania,5
274,Cohen Children'S Medical Center,5
275,The Children'S Hospital Of Alabama,5
276,University Of Wisconsin-Madison,5
277,University Of British Columbia,5
278,Hackensack University Medical Center,5
279,York Hospital,5
280,Mcgill University,5
281,Children'S Hospital Of Pittsburgh Of Upmc,5
282,Brigham & Women'S Hospital,5
283,Marshall University Schoool Of Medicine,5
284,University Of Texas Rio Grande Valley School Of Medicine,5
285,Ohio State University Wexner Medical Center,5
286,Hagey Laboratory For Pediatric Regenerative Medicine,5
287,University Of Iowa Hospitals And Clinics,5
288,Virginia Commonwealth University School Of Medicine,4
289,University Of Florida College Of Medicine- Jacksonville,4
290,Ann And Robert H Lurie Children'S Hospital Of Chicago,4
291,Penn Medicine Lancaster General Hospital,4
292,Texas Tech University Health Science Center,4
293,New York Presbyterian Brooklyn Methodist Hospital,4
294,Geisel School Of Medicine At Dartmouth,4
295,Conemaugh Memorial Medical Center,4
296,University Of Puerto Rico School Of Medicine,4
297,Valley Children'S Hospital,4
298,University Of Arkansas,4
299,West Virginia University School Of Medicine,4
300,University Of Florida College Of Medicine Jacksonville,4
301,Henry Ford Health System/Wayne State University,4
302,Harvard Medical School,4
303,Hartford Hospital,4
304,University Of Nevada School Of Medicine,4
305,The University Of Arizona,4
306,Tufts University School Of Medicine,4
307,University Of Nevada,4
308,Rutgers Robert Wood Johnson Medical School,4
309,Philadelphia College Of Osteopathic Medicine,4
310,Ann & Robert H. Lurie Children'S Hospital,4
311,Naval Medical Research Unit San Antonio,4
312,The Ohio State Wexner Medical Center,4
313,Ascension Providence Hospital,4
314,Texas Tech University Health Sciences,4
315,Austin Health,4
316,University Of Rwanda,4
317,St. George'S University School Of Medicine,4
318,Mcgovern Medical School At The University Of Texas Health Science Center At Houston,4
319,Memorial Hermann Hospital,4
320,Lenox Hill Hospital,4
321,Children'S Hospital Of Alabama,4
322,Jikei University School Of Medicine,4
323,University Of Tennessee Health Sciences Center,4
324,Northwell Health,4
325,Mercer University School Of Medicine,4
326,Center For Surgery And Public Health,4
327,University Of Maryland Medical Center,4
328,Riley Hospital For Children,4
329,John Peter Smith Hospital,4
330,Rutgers Cancer Institute Of New Jersey,4
331,Duke University School Of Medicine,4
332,University Hospital Cleveland Medical Center,4
333,University Of California - San Francisco - East Bay,4
334,Aga Khan University Hospital,4
335,Penn Medicine Lancaster General Health,4
336,Oregon Health And Sciences University,4
337,University Of California San Diego,4
338,The Mount Sinai Hospital,4
339,Downstate Health Sciences University,4
340,Oakland University William Beaumont School Of Medicine,4
341,Ohio State University Wexner Medical Center And James Comprehensive Cancer Center,4
342,King Faisal Specialist Hospital & Research Center,4
343,Imperial College London,4
344,University Of California San Francisco - East Bay,4
345,University Hospitals Case Medical Center,4
346,The Feinstein Institutes For Medical Research,4
347,Stellenbosch University,3
